Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Chevrolet S10 2.8 High Country Cd Tdci 200cv,Bs.As. G.B.A. Sur,Chevrolet,S10,2017,2.8 High Country Cd Tdci 200cv,,Diésel,4,Manual,2.8,Pick-Up,150000,Sí,Sí,Asistida,4x2,5,76 L,200,5367,1889,1820,2709 mm,25000
Volkswagen Suran 1.6 Comfortline 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Suran,2015,1.6 Comfortline 101cv,Blanco,Nafta,5,Manual,1.6,Monovolumen,187000,,,Hidráulica,Delantera,5,50 L,101,4178,1547,1660,2467 mm,11500000
Peugeot 3008 1.6 Premium Plus Thp 156cv,San Luis,Peugeot,3008,2011,1.6 Premium Plus Thp 156cv,,Nafta,5,Manual,1.6,Monovolumen,150000,Sí,Sí,Asistida,Delantera,5,60 L,156,4365,1639,1837,2613 mm,11000000
Peugeot 208 1.6 Feline Tiptronic,Capital Federal,Peugeot,208,2022,1.6 Feline Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,8900,,Sí,Asistida,Delantera,5,55 L,115,3975,1470,1740,2540 mm,19900000
Mercedes-Benz Clase E 3.5 E350 Coupe Sport B.efficiency At,Bs.As. G.B.A. Norte,,Clase E,2013,3.5 E350 Coupe Sport B.efficiency At,,Nafta,2,Automática,3.5,,60000,Sí,Sí,Asistida,Trasera,4,66 L,306,4698,1397,1786,2760 mm,31000
Toyota Hilux 2.8 Tdi Cd Srx 177Cv 4X4 At,Capital Federal,Toyota,Hilux,2021,2.8 Tdi Cd Srx 177Cv 4X4 At,Negro,Diésel,4,Automática,2.8,Pick-Up,57000,No,Sí,electronic,4x4,5,80 L,177,5260,1850,1855,2860 mm,37900
Chevrolet Tracker 1.8 Ltz 140cv,Bs.As. G.B.A. Norte,Chevrolet,Tracker,2016,1.8 Ltz 140cv,Plateado,Nafta,5,Automática,1.8,SUV,118000,Sí,Sí,Asistida,Integral,5,53 L,140,4248,1674,1657,2465 mm,12200
Fiat Argo 1.8 HGT L17,Córdoba,Fiat,Argo,2019,1.8 HGT L17,Azul,Nafta,5,Manual,,Hatchback,87200,,Sí,Asistida,Delantera,5,48 L,,,,,,20300000
Peugeot Partner 1.6 Hdi Confort 5as,Bs.As. G.B.A. Sur,Peugeot,Partner,2018,1.6 Hdi Confort 5as,Blanco,Diésel,3,Manual,1.6,Hatchback,115000,,,,Delantera,2,55 L,92,4137,1800,1720,2728 mm,16900000
Mini Cooper S 2.0 F56 Chili 192cv,San Luis,Mini,Cooper S,2023,2.0 F56 Chili 192cv,Azul,Nafta,5,Automática,2.0,Hatchback,10000,Sí,,Asistida,Delantera,5,47 L,192,,,,2467 mm,49000
Volkswagen T-Cross 1.0 200 Tsi Comfortline Aut,Capital Federal,Volkswagen,T-Cross,2023,1.0 200 Tsi Comfortline Aut,,Nafta,5,Automática,1.0,SUV,1111,Sí,Sí,Eléctrica,4x2,5,64 L,116,4199,1598,1760,2651 mm,26050000
Chevrolet Spin 1.8 Ltz 5as 105cv,Córdoba,Chevrolet,Spin,2016,1.8 Ltz 5as 105cv,,Nafta,5,Manual,1.8,Monovolumen,150000,Sí,Sí,Hidráulica,Delantera,5,53 L,105,4360,1664,1810,2841 mm,12000
Ford Focus 2.0 Trend,Capital Federal,Ford,Focus,2008,2.0 Trend,,Nafta,5,,,,113000,,,,,,,,,,,,5700
Jeep Wrangler 3.6 Unlimited 284hp Mtx,Capital Federal,Jeep,Wrangler,2011,3.6 Unlimited 284hp Mtx,Rojo,Nafta,3,Manual,3.6,SUV,170000,Sí,,Hidráulica,4x4,4,71 L,284,4223,1848,1873,2424 mm,29990
Volkswagen Gol Trend 1.6 Pack Ii 101cv 3p,Capital Federal,Volkswagen,Gol Trend,2015,1.6 Pack Ii 101cv 3p,,Nafta,3,Manual,1.6,Hatchback,98000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,10000000
Volkswagen Gol Trend 1.6 Trendline 101cv 3p,Bs.As. G.B.A. Oeste,Volkswagen,Gol Trend,2017,1.6 Trendline 101cv 3p,,Nafta,3,Manual,1.6,Hatchback,84000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,12000000
Ford Ranger 3.2 Cd 4x2 Xlt Tdci 200cv,Bs.As. G.B.A. Sur,Ford,Ranger,2013,3.2 Cd 4x2 Xlt Tdci 200cv,Azul,Diésel,4,Manual,3.2,Pick-Up,160000,Sí,,Eléctrica,4x2,5,80 L,200,5359,1815,1705,2600 mm,19800000
Ford F-150 5.0l V8 Lariat Luxury,Buenos Aires Interior,Ford,F-150,2021,5.0l V8 Lariat Luxury,,Nafta,4,Automática,5.0,Pick-Up,55000,Sí,,Eléctrica,4x4,5,80 L,400,5359,1815,1730,2670 mm,79000
BMW Serie 1 2.5 125i Coupe Sport,Capital Federal,BMW,Serie 1,2009,2.5 125i Coupe Sport,,Nafta,2,Manual,2.5,,80000,,Sí,Asistida,Trasera,4,53 L,218,4360,1423,1640,2374 mm,22000
Ford Fiesta Kinetic Design 1.6 Se Plus 120cv,Bs.As. G.B.A. Sur,Ford,Fiesta Kinetic Design,2018,1.6 Se Plus 120cv,Blanco,Nafta,4,Manual,1.6,Hatchback,44500,Sí,,Eléctrica,Delantera,5,47 L,120,4056,1476,1801,2895 mm,17595000
Volkswagen Vento Gli 230cv,Bs.As. G.B.A. Norte,Volkswagen,Vento,2024,Gli 230cv,Gris,Nafta,4,Automática,2.0,Sedán,18500,,,Hidráulica,,,,,,,,,38000
Chevrolet Cruze 2019 Lt 1.4 Turbo 4 Puertas Manual Cuero,Chaco,Chevrolet,Cruze,2019,LT 1.4 Turbo 4ptas,Gris,Nafta,4,Manual,,Sedán,42000,,Sí,Eléctrica,,,,,,,,,20000
Citroën C3 1.4 I Sx Facelift,Bs.As. G.B.A. Oeste,,C3,2009,1.4 I Sx Facelift,Gris,Nafta,5,Manual,1.4,Hatchback,113765,No,Sí,Eléctrica,Delantera,5,47 L,75,3850,1533,1645,2443 mm,8500000
Renault Koleos 2.5 Dynamique 4x4 Mt,Bs.As. G.B.A. Sur,Renault,Koleos,2012,2.5 Dynamique 4x4 Mt,Blanco,Nafta,5,Manual,2.5,SUV,158000,Sí,,Eléctrica,4x4,5,65 L,170,4520,1695,1855,2690 mm,12500000
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x2,Córdoba,Ford,Ranger,2017,3.2 Cd Xlt Tdci 200cv Automática 4x2,Plateado,Diésel,4,Automática,3.2,Pick-Up,120000,Sí,,Eléctrica,4x2,5,80 L,200,5359,1815,1730,2670 mm,19500
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x2,Bs.As. G.B.A. Sur,Ford,Ranger,2022,2.2 Cd Xl Tdci 150cv 4x2,,Diésel,4,Manual,2.2,Pick-Up,48000,,,Eléctrica,4x2,5,80 L,150,5359,1800,1860,3220 mm,29600000
Vw Saveiro 1.8 Aspirada,Córdoba,Volkswagen,Saveiro,2025,1.8 ap,Blanco,Nafta,2,Manual,,Pick-Up,120000,No,,Mecánica,,,,,,,,,8000
Mercedes-Benz Clase A 2.0 A250 Amg-line 224cv Hatch,Córdoba,,Clase A,2020,2.0 A250 Amg-line 224cv Hatch,Negro,Nafta,5,Automática,2.0,Hatchback,51000,Sí,Sí,Asistida,Delantera,5,56 L,224,4292,1430,1720,2425 mm,57000
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Bs.As. G.B.A. Norte,Toyota,Corolla,2015,1.8 Xei Cvt Pack 140cv,Plateado,Nafta,4,Automática,1.8,Sedán,145000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,14500
Peugeot 207 1.6 Griffe 106cv,Bs.As. G.B.A. Norte,Peugeot,207,2013,1.6 Griffe 106cv,,Nafta,3,Manual,1.6,Hatchback,118000,,Sí,Hidráulica,Delantera,5,50 L,106,3872,1441,1669,2443 mm,8000
Ford Ranger Raptor 2.0l Biturbo Cabina Doble 4x4,Bs.As. G.B.A. Norte,Ford,Ranger Raptor,2023,2.0l Biturbo Cabina Doble 4x4,,Diésel,4,Automática,2.0,Pick-Up,1111,Sí,,Eléctrica,4x4,5,80 L,213,5359,1873,1730,2670 mm,60000
Citroën Berlingo Furgon 1.6 Hdi 92 Bussines,Bs.As. G.B.A. Sur,,Berlingo Furgon,2024,1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,500,,Sí,Hidráulica,Delantera,2,60 L,92,4137,1804,1960,2693 mm,22000000
Ford Ecosport 1.5 Freestyle 123cv 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2019,1.5 Freestyle 123cv 4x2,Dorado,Nafta,5,Manual,1.5,SUV,41000,No,Sí,Asistida,4x2,5,52 L,123,4241,1693,1821,2608 mm,19300000
Ford Focus III 1.6 Sedan S,Bs.As. G.B.A. Sur,Ford,Focus III,2017,1.6 Sedan S,,Nafta,4,Manual,1.6,Sedán,85000,,,Eléctrica,Delantera,5,55 L,125,4534,1484,1639,2630 mm,18200000
BMW Serie 5 3.0 535i Sedan M Package 306cv,Córdoba,BMW,Serie 5,2017,3.0 535i Sedan M Package 306cv,Negro,Nafta,4,Automática,3.0,Sedán,79000,Sí,Sí,Eléctrica,Trasera,5,70 L,306,4899,1464,1765,2488 mm,37500
BMW X6 4.4 M 555cv,Bs.As. G.B.A. Norte,BMW,X6,2014,4.4 M 555cv,Azul,Nafta,5,Automática,4.4,SUV,56000,Sí,Sí,Asistida,Integral,4,85 L,555,4876,1684,1983,2452 mm,66500
Renault Sandero 1.6 Intens Cvt,Capital Federal,Renault,Sandero,2024,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,2000,Sí,,Asistida,Delantera,5,50 L,115,4070,1530,1727,2590 mm,23000000
Jeep Grand Cherokee 3.6 Overland 286hp At,Capital Federal,Jeep,Grand Cherokee,2012,3.6 Overland 286hp At,,Nafta,5,Automática,3.6,SUV,88000,Sí,,Hidráulica,4x4,5,94 L,286,4822,1781,1943,2915 mm,27900
Renault Kangoo Ii Express Confort 1.5 Dci,Capital Federal,Renault,Kangoo,2024,Ii Express Confort 1.5 Dci,Blanco,Diésel,3,Manual,1.5,Furgón,1000,,,Hidráulica,Delantera,2,52 L,65,4010,1860,1670,2600 mm,26989900
BMW Serie 3 2.5 323i Sedan Active Stept,Bs.As. G.B.A. Norte,BMW,Serie 3,2008,2.5 323i Sedan Active Stept,Gris,Nafta,4,Automática,2.5,Sedán,185000,No,Sí,Asistida,Trasera,5,60 L,177,4520,1421,1665,2718 mm,10600
Citroën C3 Picasso 1.6 Exclusive 115cv,Bs.As. Costa Atlántica,,C3 Picasso,2013,1.6 Exclusive 115cv,Blanco,Nafta,5,Manual,1.6,Hatchback,160000,Sí,Sí,Eléctrica,Delantera,5,55 L,115,4092,1634,1735,2525 mm,11500000
Audi A3 Sportback 1.4 Tsi Stronic,Bs.As. G.B.A. Sur,Audi,A3 Sportback,2012,1.4 Tsi Stronic,,Nafta,5,Automática,1.4,Hatchback,125000,No,Sí,Asistida,Delantera,5,55 L,125,4292,1423,1874,2912 mm,13200
Volkswagen T-Cross 1.0 170 Tsi Mt,Buenos Aires Interior,Volkswagen,T-Cross,2024,1.0 170 Tsi Mt,Blanco,Nafta,5,Manual,1.0,SUV,4200,Sí,Sí,Eléctrica,4x2,5,64 L,95,4199,1598,1760,2651 mm,28000000
Peugeot 207 1.4 Allure 75cv,Bs.As. G.B.A. Oeste,Peugeot,207,2014,1.4 Allure 75cv,Gris,Nafta,5,Manual,1.4,Hatchback,129148,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1669,2443 mm,8500000
Chevrolet Prisma 1.4 Ltz At 98cv,Bs.As. G.B.A. Norte,Chevrolet,Prisma,2020,1.4 Ltz At 98cv,Negro,Nafta,4,Automática,1.4,Sedán,45000,Sí,Sí,Asistida,Delantera,5,54 L,98,4275,1484,1656,2465 mm,18900000
Renault Fluence 1.6 Ph2 Dynamique Pack 110cv,Bs.As. G.B.A. Norte,Renault,Fluence,2016,1.6 Ph2 Dynamique Pack 110cv,Negro,Nafta,4,Manual,1.6,Sedán,137000,No,Sí,Eléctrica,Delantera,5,60 L,110,4618,1479,1810,2700 mm,10500
Toyota SW4 3.0 Srv Cuero 171cv 4x4 - E4,Córdoba,Toyota,SW4,2012,3.0 Srv Cuero 171cv 4x4 - E4,Blanco,Diésel,5,Automática,3,SUV,194000,No,No,hydraulic,4x4,5,80 L,171,4705,1850,1840,2750 mm,23000
Volkswagen Fox 1.6 Comfortline,Bs.As. Costa Atlántica,Volkswagen,Fox,2017,1.6 Comfortline,Gris,Nafta,5,Manual,1.6,Hatchback,65700,,,Eléctrica,Delantera,5,50 L,101,3823,1552,1660,2467 mm,16000000
Ford Fiesta Kinetic Design 1.6 S 120cv,Capital Federal,Ford,Fiesta Kinetic Design,2015,1.6 S 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,134000,Sí,,Eléctrica,Delantera,5,45 L,120,4066,1473,1801,2415 mm,8350
Volkswagen Amarok 2.0 Cd Tdi 180cv Highline At,Bs.As. G.B.A. Sur,Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv Highline At,Gris,Diésel,4,Automática,2.0,Pick-Up,116000,Sí,,Hidráulica,4x2,5,80 L,180,5254,1834,1944,3095 mm,28000000
"Dodge Journey 2.4 Sxt 170cv Atx6 (techo, Dvd)",Capital Federal,Dodge,Journey,2014,,,Nafta,5,Automática,2.4,SUV,140000,Sí,Sí,Hidráulica,4x2,5,78 L,170,4888,1691,1877,2947 mm,16000
Peugeot 206 1.6 Xt Premium,Bs.As. G.B.A. Norte,Peugeot,206,2007,1.6 Xt Premium,Negro,Nafta,5,Manual,1.6,Hatchback,180000,,Sí,,Delantera,5,50 L,90,3835,1432,1652,2442 mm,5500
Renault Kangoo Stepway 1.5 Dci,Bs.As. G.B.A. Norte,Renault,Kangoo,2018,Stepway 1.5 Dci,Plateado,Diésel,3,Manual,1.5,Monovolumen,44000,,,Hidráulica,Delantera,2,52 L,65,4010,1860,1670,2600 mm,16500
Volkswagen Taos 1.4 250 Tsi Comfortline,Bs.As. G.B.A. Norte,Volkswagen,Taos,2022,1.4 250 Tsi Comfortline,Blanco,Nafta,5,Automática,1.4,SUV,11000,Sí,Sí,Eléctrica,4x2,5,50 L,150,4468,1624,1841,2681 mm,30500
Citroën C3 Aircross 16v Pack High Tech,Bs.As. G.B.A. Sur,,C3 Aircross,2013,16V Pack High Tech,,Nafta,5,,,,156000,,,,,,,,,,,,12500000
Mercedes-benz Clase C 2.5 C250 Elegance Plus At 46276082,Bs.As. G.B.A. Oeste,,Clase C,1998,2.5 C250 Elegance Plus At,Azul,Diésel,4,Automática,2.5,Sedán,304000,No,Sí,Hidráulica,Trasera,5,66 L,113,4581,1445,1770,2760 mm,8500
,Ubicación no encontrada,Nissan,Frontier,2023,2.3 T CD S MT 4x2,Blanco,Diésel,4,Manual,1,Pick-Up,3464,No,No,Asistida,4x2,5,80 L,190,5260,1850,1790,3150 mm,30280000
Ford Ranger Fx4 Dc 4x4 At 3.2l D,Bs.As. G.B.A. Sur,Ford,Ranger,2022,FX4,Blanco,Diésel,4,,,,118000,,,,,,,,,,,,32000
Chevrolet Cruze II 1.4 Ltz 153cv,Bs.As. G.B.A. Sur,Chevrolet,Cruze II,2018,1.4 Ltz 153cv,,Nafta,5,Manual,1.4,Hatchback,95000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,21500000
Ford Ecosport 1.6 Titanium 110cv 4x2,Bs.As. G.B.A. Oeste,Ford,Ecosport,2013,1.6 Titanium 110cv 4x2,Gris,Nafta,5,Manual,1.6,SUV,159000,,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1840,2670 mm,9990
Fiat Palio 1.4 Fire Pack Seg.,Bs.As. G.B.A. Norte,Fiat,Palio,2015,1.4 Fire Pack Seg.,Gris,Nafta,5,Manual,1.4,Hatchback,90500,,Sí,Hidráulica,Delantera,5,48 L,82,3827,1444,1922,3550 mm,9000000
Volkswagen Gol 1.6 I Power 601,Bs.As. G.B.A. Sur,Volkswagen,Gol,2008,1.6 I Power 601,Gris,Nafta,3,Manual,1.6,Hatchback,208000,,,Mecánica,Delantera,5,51 L,92,3951,1414,1651,2468 mm,7500000
Renault Duster 2.0 Ph2 4x2 Privilege 143cv,Capital Federal,Renault,Duster,2016,2.0 Ph2 4x2 Privilege 143cv,Negro,Nafta,5,Manual,2.0,SUV,83000,Sí,Sí,,4x2,5,50 L,143,4329,1683,1822,2674 mm,13000
Peugeot Partner 1.4 Furgon Presence Aa,Capital Federal,Peugeot,Partner,2015,1.4 Furgon Presence Aa,Blanco,Nafta,3,Manual,1.4,Furgón,164300,,Sí,Hidráulica,Delantera,2,55 L,75,4137,1800,1720,2728 mm,9000000
Ford F-100 3.6,Bs.As. G.B.A. Oeste,Ford,F-100,1995,3.6,,Diésel,2,Manual,3.6,Pick-Up,123456,,,,4x4,3,110 L,103,5345,1935,1815,2710 mm,10000
Ford Focus 2 2.0 Ghia Mt,Bs.As. G.B.A. Oeste,Ford,Focus 2,2012,2.0 Ghia Mt,Dorado,Nafta,5,Manual,2.0,Hatchback,142000,Sí,,Asistida,Delantera,5,55 L,145,4337,1500,1672,2600 mm,3800
Toyota Etios 1.5 X 6mt My19,Córdoba,Toyota,Etios,2022,1.5 X 6mt My19,Blanco,Nafta,5,Manual,1.5,Hatchback,54000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,18700000
BMW X6 4.4 M 555cv,Bs.As. G.B.A. Norte,BMW,X6,2016,4.4 M 555cv,Celeste,Nafta,5,Automática,4.4,SUV,150000,Sí,Sí,Asistida,Integral,4,85 L,555,4876,1684,1989,2452 mm,70000
Mitsubishi L200 3.2 Cab Doble 4wd Cr 170cv Mt,Neuquén,Mitsubishi,L200,2015,3.2 Cab Doble 4wd Cr 170cv Mt,Gris,Diésel,4,Manual,3.2,Pick-Up,200000,,Sí,,4x4,5,75 L,170,5115,1780,1750,3000 mm,24000000
Ford Territory 1.5t Titanium,Bs.As. G.B.A. Sur,Ford,Territory,2022,1.5t Titanium,,Nafta,5,Automática,1.5,SUV,45100,,,Asistida,Delantera,5,52 L,143,4580,1674,2179,2716 mm,28000
Renault Duster 1.6 Ph2 4x2 Dynamique 110cv,Bs.As. G.B.A. Norte,Renault,Duster,2016,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Nafta,5,Manual,1.6,SUV,148000,,Sí,Hidráulica,4x2,5,50 L,110,4329,1683,1822,2674 mm,13500
Volkswagen Fox Trendline,Bs.As. G.B.A. Sur,Volkswagen,Fox,2015,1.6 Trendline,Gris,Nafta,5,Manual,1.6,,81100,,,,,,,,,,,,10500
Ford Ranger 2.2 Cd Xl Tdci 125cv 4x2,Bs.As. G.B.A. Norte,Ford,Ranger,2021,2.2 Cd Xl Tdci 125cv 4x2,Gris,Diésel,4,Manual,2.2,Pick-Up,95000,,,Eléctrica,4x2,5,80 L,125,5359,1800,1860,3220 mm,24500
Honda Civic 2.0 Si Mt,San Juan,Honda,Civic,2008,2.0 Si Mt,,Nafta,4,Manual,2.0,Sedán,147000,Sí,,Eléctrica,Delantera,5,50 L,200,4489,1450,1656,2465 mm,14500000
Ford Fiesta Kinetic Design 1.6 S 120cv,Bs.As. G.B.A. Oeste,Ford,Fiesta Kinetic Design,2016,1.6 S 120cv,Plateado,Nafta,5,Manual,1.6,Hatchback,79150,,,Eléctrica,Delantera,5,51 L,120,3969,1464,1801,2895 mm,12900000
Renault Megane Megane Expresion Bic,Bs.As. G.B.A. Norte,Renault,Megane,2004,Megane Expresion Bic,,Nafta,5,,,,288323,,,,,,,,,,,,5500000
Peugeot 206 1.9 Xrd Premium 5 p,Bs.As. G.B.A. Oeste,Peugeot,206,2005,1.9 Xrd Premium 5 p,Gris,Diésel,5,Manual,1.9,Hatchback,235000,,Sí,Hidráulica,Delantera,5,50 L,70,3835,1432,1652,2442 mm,4739533
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Capital Federal,Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Blanco,Diésel,4,Automática,3.2,Pick-Up,60100,Sí,,Eléctrica,4x4,5,80 L,200,5359,1815,1860,3220 mm,26000
Toyota Hilux 2.8 Cd Limited 177cv 4x4 At,Bs.As. G.B.A. Norte,Toyota,Hilux,2018,2.8 Cd Limited 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,190000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,32000
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Córdoba,Fiat,Cronos,2021,1.3 Gse Drive Pack Conectividad,Gris,Nafta,4,Manual,1.3,Sedán,90200,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,17500000
Ford Ecosport 1.6 Titanium 110cv 4x2,Capital Federal,Ford,Ecosport,2013,1.6 Titanium 110cv 4x2,Rojo,Nafta,5,Manual,1.6,SUV,98000,,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1840,2670 mm,14500000
Volkswagen Golf 1.4 Comfortline Tsi Dsg,Buenos Aires Interior,Volkswagen,Golf,2017,1.4 Comfortline Tsi Dsg,Azul,Nafta,5,Automática,1.4,Hatchback,73000,,,Eléctrica,Delantera,5,50 L,150,4255,1452,1799,2638 mm,17500
Peugeot Partner 1.6 Hdi Confort 5as,Chaco,Peugeot,Partner,2018,1.6 Hdi Confort 5as,Blanco,Diésel,3,Manual,1.6,Hatchback,107000,,Sí,Hidráulica,Delantera,2,55 L,92,4137,1800,1720,2728 mm,12900
Renault Megane 1.6 - 16v.,Capital Federal,Renault,Megane,2005,1.6 - 16v.,,Nafta/GNC,4,,,,330000,,,,,,,,,,,,5000000
Volkswagen Gol Trend 1.6 Trendline 101cv,Bs.As. G.B.A. Sur,Volkswagen,Gol Trend,2018,1.6 Trendline 101cv,,Nafta,5,Manual,1.6,Hatchback,58000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,16000000
Volkswagen Vento 1.4 Highline 150cv At,Bs.As. G.B.A. Oeste,Volkswagen,Vento,2021,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,60000,,,Hidráulica,Delantera,5,55 L,150,4554,1461,1778,2651 mm,31355
Fiat Punto 1.6 Essence,Bs.As. G.B.A. Norte,Fiat,Punto,2014,1.6 Essence,Plateado,Nafta,5,Manual,1.6,Hatchback,114000,No,Sí,Hidráulica,Delantera,5,60 L,115,4065,1493,1683,2467 mm,8400
Toyota RAV4 2.0 Tx,Tucumán,Toyota,RAV4,2018,2.0 Tx,,Nafta,5,Automática,2.0,SUV,39000,,,Eléctrica,4x2,5,60 L,146,4570,1715,1845,2660 mm,33500000
Chevrolet Cruze 1.4 Ltz At Sedan - Anticipo --,Bs.As. G.B.A. Oeste,Chevrolet,Cruze,2019,1.4 Ltz At Sedan - Anticipo --,Plateado,Nafta,4,Automática secuencial,1.4,Sedán,120000,Sí,Sí,Hidráulica,Delantera,5,52 L,153,4665,1484,2042,2700 mm,5900000
Fiat Cronos 1.3 Drive Cvt,Capital Federal,Fiat,Cronos,2024,1.3 Drive Cvt,,Nafta,4,Automática,1.3,Sedán,1000,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,6000000
Chevrolet Meriva 1.8 Gls 122 hp,Bs.As. G.B.A. Oeste,Chevrolet,Meriva,2009,1.8 Gls 122 hp,Azul,Nafta,5,Manual,1.8,Sedán,144000,No,,Asistida,Delantera,,,,,,,,6500
Peugeot 207 1.6 Xt,Bs.As. G.B.A. Norte,Peugeot,207,2010,1.6 Xt,Gris,Nafta,5,Manual,1.6,Hatchback,90000,,Sí,Hidráulica,Delantera,5,50 L,110,3872,1441,1669,2443 mm,6800
Volkswagen Suran 1.9 Sdi Highline 80d,Bs.As. G.B.A. Norte,Volkswagen,Suran,2009,1.9 Sdi Highline 80d,,Diésel,5,Manual,1.9,Monovolumen,150000,,,Hidráulica,Delantera,5,50 L,64,4180,1576,1660,2467 mm,7500
Toyota Corolla 2.0 Seg Cvt 170cv,Bs.As. Costa Atlántica,Toyota,Corolla,2023,2.0 Seg Cvt 170cv,,Nafta,4,Automática,2.0,Sedán,74000,Sí,,Eléctrica,Delantera,5,57 L,170,4630,1435,1780,2700 mm,30000000
Fiat Toro 2.0 Volcano 4x4 At,Buenos Aires Interior,Fiat,Toro,2017,2.0 Volcano 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,151000,,,,4x4,5,60 L,170,4915,1690,1669,2443 mm,25700000
Jeep Renegade 1.8 Sport Plus,Bs.As. G.B.A. Sur,Jeep,Renegade,2018,1.8 Sport Plus,Negro,Nafta,5,Manual,1.8,SUV,121000,Sí,,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,20500000
Jeep Renegade 1.8 Sport,Santa Fe,Jeep,Renegade,2016,1.8 Sport,Rojo,Nafta,5,Manual,1.8,SUV,115000,No,Sí,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,18200000
Peugeot 206 1.6 Xs Premium,Capital Federal,Peugeot,206,2007,1.6 Xs Premium,,Nafta,3,Manual,1.6,Hatchback,187000,,,,Delantera,5,50 L,90,3835,1432,1652,2442 mm,6400
Fiat Cronos 1.3 Gse Drive,Bs.As. G.B.A. Norte,Fiat,Cronos,2023,1.3 Gse Drive,Blanco,Nafta,4,Manual,1.3,Sedán,4150,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,15800
Peugeot 2008 1.6 Allure Tip,Capital Federal,Peugeot,2008,2017,1.6 Allure Tip,Blanco,Nafta,5,Automática,1.6,SUV,81300,,,Eléctrica,Delantera,5,55 L,115,4159,1583,1739,2542 mm,18000000
Volkswagen Suran 1.6 Track,Tucumán,Volkswagen,Suran,2017,1.6 Track,,Nafta,5,Manual,1.6,Monovolumen,75000,,,Hidráulica,Delantera,5,50 L,101,4204,1585,1660,2467 mm,15000000
Ford Kuga 2.0 Titanium,Capital Federal,Ford,Kuga,2022,2.0 Titanium,Blanco,Nafta,5,Automática,2.0,SUV,17000,,,Asistida,Delantera,5,60 L,240,4524,1736,1838,2587 mm,39900
Volkswagen Gol 2011,Santa Fe,Volkswagen,Gol,2011,2011,,Nafta,3,,,,130000,,,,,,,,,,,,7500000
Peugeot 308 1.6 Sport Thp 163cv,Bs.As. G.B.A. Norte,Peugeot,308,2013,1.6 Sport Thp 163cv,,Nafta,5,Automática,1.6,Hatchback,140000,,,Hidráulica,Delantera,5,60 L,163,4276,1519,1815,2608 mm,10000
Toyota Hilux Pick-Up 2.4 Cd 150cv 4x2,Córdoba,Toyota,Hilux Pick-Up,2018,2.4 Cd 150cv 4x2,,Diésel,4,Manual,2.4,Pick-Up,90000,,,Hidráulica,4x2,5,80 L,150,5260,1850,1855,2860 mm,26400
Renault Clio 1.2 Authentique Pack I 75cv,Bs.As. G.B.A. Norte,Renault,Clio,2011,1.2 Authentique Pack I 75cv,Negro,Nafta,3,Manual,1.2,Hatchback,203088,,Sí,Hidráulica,Delantera,5,50 L,75,3813,1417,1639,2472 mm,8700
Toyota Hilux Pick-Up 2.8 Cd Srx 177cv 4x2 At,Córdoba,Toyota,Hilux Pick-Up,2018,2.8 Cd Srx 177cv 4x2 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,118036,Sí,,Hidráulica,4x2,5,80 L,177,5260,1850,1855,2860 mm,38600000
